epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7082,2.45768,4.07292,5.54296,1.25095,0,0,0,0,0,0,0,0,0,3.93166,36.9046,5.54831,1.59036,0,6e-05,6e-05,0.09406
2,59.9738,2.39328,3.0909,3.96332,1.13955,0,0,0,0,0,0,0,0,0,3.9661,45.5275,5.28488,1.5815,0,0.000129571,0.000129571,0.0871296
3,72.0228,2.24814,2.72106,3.40048,1.08352,0,0,0,0,0,0,0,0,0,3.9065,39.6676,5.66483,1.59301,0,0.00019868,0.00019868,0.0801987
4,83.0064,2.10114,2.32328,3.01148,1.06616,0,0,0,0,0,0,0,0,0,3.07122,27.8539,5.33743,1.28116,0,0.000267327,0.000267327,0.0732673
5,93.5155,2.31298,2.64968,2.93188,1.16564,0,0,0,0,0,0,0,0,0,2.65444,25.4337,4.72229,1.18141,0,0.000335512,0.000335512,0.0663355
6,104.078,2.2789,2.94046,2.61269,1.0962,0,0,0,0,0,0,0,0,0,2.13801,22.7704,4.35485,1.09043,0,0.000403235,0.000403235,0.0594032
7,115.918,2.13088,2.44483,2.32733,1.18294,0,0,0,0,0,0,0,0,0,2.1288,29.7773,4.27217,1.10162,0,0.000470496,0.000470496,0.0524705
8,128.258,2.15982,2.49016,2.35071,1.07391,0,1,0.07895,0.53947,0.2671,0,0,0,0,2.26233,39.189,4.11897,1.15526,0,0.000537295,0.000537295,0.0455373
9,139.077,2.16993,2.6694,2.14222,1.09638,0,1,0.13158,0.56578,0.30439,0,0,0,0,2.3087,40.7654,4.0641,1.15924,0,0.000603632,0.000603632,0.0386036
10,150.23,2.12013,2.46801,2.2012,1.13107,0,0.9,0.23684,0.57007,0.25726,0,0,0,0,2.18015,40.6283,4.02045,1.11403,0,0.000669507,0.000669507,0.0316695
11,162.831,2.11083,2.29481,2.06062,1.05596,0,0.32727,0.47368,0.41546,0.18019,0.03636,0.05263,0.02483,0.00497,1.98826,30.1034,3.79815,1.04845,0,0.00073492,0.00073492,0.0247349
12,174.408,2.29078,2.52039,2.26093,1.03093,0,0.20561,0.57895,0.42745,0.17217,0.01869,0.05263,0.01538,0.0047,1.99416,25.5735,3.65197,1.02609,0,0.000799871,0.000799871,0.0177999
13,185.128,2.01961,2.43263,1.88091,1.05816,0,0.19231,0.78947,0.44317,0.18393,0.03846,0.15789,0.03817,0.01176,2.01166,20.7219,3.48982,1.05068,0,0.00086436,0.00086436,0.0108644
14,195.267,1.99065,2.60169,1.88892,1.05948,0,0.19231,0.78947,0.44317,0.18393,0.03846,0.15789,0.03817,0.01176,2.01166,20.7219,3.48982,1.05068,0,0.000928387,0.000928387,0.00392839
15,206.644,2.00896,2.28998,1.8469,1.05979,0,0.12097,0.78947,0.42688,0.16824,0.06452,0.42105,0.14983,0.05847,2.08007,12.9923,3.27261,1.07376,0,0.0009538,0.0009538,0.0009538
16,219.835,2.01318,2.23171,1.87327,1.05048,0,0.10116,0.92105,0.52482,0.1755,0.08671,0.78947,0.32455,0.12315,2.11889,7.49013,3.08574,1.11948,0,0.0009505,0.0009505,0.0009505
17,232.889,2.01004,2.43565,1.74986,1.02869,0,0.0766,0.94737,0.47986,0.17559,0.06809,0.84211,0.36583,0.145,2.10687,5.44885,2.98074,1.09283,0,0.0009472,0.0009472,0.0009472
18,244.683,2.14236,2.70314,2.11268,1.01861,0,0.05696,0.94737,0.44071,0.14186,0.05222,0.86842,0.31452,0.0988,2.11323,4.28784,2.94379,1.08577,0,0.0009439,0.0009439,0.0009439
19,259.036,1.90458,2.205,1.71245,1.0483,0,0.03851,0.89474,0.30112,0.10678,0.03737,0.86842,0.24791,0.08711,2.13206,4.02142,2.93117,1.11728,0,0.0009406,0.0009406,0.0009406
20,274.014,2.097,2.42699,1.8287,1.03297,0,0.29695,0.42105,0.2538,0.09343,0.02802,0.84211,0.27565,0.08149,2.17606,3.6975,2.84223,1.15039,0,0.0009373,0.0009373,0.0009373
21,290.02,2.15795,2.16213,1.84722,1.03339,0,0.49094,0.34211,0.35855,0.1382,0.41175,0.28947,0.3128,0.13323,2.16668,2.90318,2.40302,1.15254,0,0.000934,0.000934,0.000934
22,301.833,1.95271,2.33405,1.7987,0.98707,0,0.49094,0.34211,0.35855,0.1382,0.41175,0.28947,0.3128,0.13323,2.16668,2.90318,2.40302,1.15254,0,0.0009307,0.0009307,0.0009307
23,317.238,1.91223,2.19875,1.69554,1.0016,0,0.4907,0.42105,0.47094,0.19004,0.46003,0.39474,0.454,0.19167,2.08832,2.37271,2.08469,1.11332,0,0.0009274,0.0009274,0.0009274
24,334.258,1.88915,2.24223,1.56286,1.02256,0,0.45149,0.52632,0.4898,0.22009,0.45386,0.54683,0.45372,0.21123,2.03327,2.4334,1.88982,1.12309,0,0.0009241,0.0009241,0.0009241
25,353.473,1.90755,2.30203,1.68193,1.02002,0,0.52908,0.5323,0.52064,0.23641,0.51589,0.47368,0.46939,0.22063,2.00765,2.29124,1.73418,1.12386,0,0.0009208,0.0009208,0.0009208
26,370.634,2.032,2.55369,1.60863,1.06094,0,0.48717,0.55263,0.51201,0.2474,0.57562,0.5,0.52422,0.24642,2.01528,2.02588,1.67736,1.11375,0,0.0009175,0.0009175,0.0009175
27,386.358,2.02744,2.32723,1.7124,1.03253,0,0.48606,0.54763,0.48036,0.22806,0.46198,0.52632,0.48457,0.20989,2.03189,1.90162,1.7551,1.11813,0,0.0009142,0.0009142,0.0009142
