epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1182,1.87358,3.5763,3.83182,1.30182,0,0.00067,0.05263,0.00036,0.00025,0.00033,0.02632,0.00017,3e-05,3.11055,12.7833,7.76123,1.89486,0,4.64286e-05,4.64286e-05,0.0907607
2,106.542,1.77633,2.47611,1.76896,1.21572,0,0.62916,0.05263,0.1012,0.03998,0.00021,0.02632,0.00027,3e-05,2.38079,42.3276,3.73748,1.52473,0,9.61104e-05,9.61104e-05,0.0808104
3,142.163,1.77303,2.31847,1.75954,1.19614,0,0.77408,0.42105,0.50794,0.20963,0.00179,0.31579,0.00585,0.00155,1.94196,40.964,2.44065,1.328,0,0.000145462,0.000145462,0.0708597
4,178.621,1.71214,2.36122,1.83866,1.16881,0,0.56555,0.76316,0.61203,0.28863,0.40788,0.05263,0.04668,0.01399,1.76993,37.5866,1.97632,1.33763,0,0.000194484,0.000194484,0.0609088
5,215.47,1.68029,2.53147,1.73223,1.19426,0,0.53266,0.68421,0.59609,0.29592,0.14867,0.15789,0.07851,0.01939,1.70907,28.342,2.52327,1.2533,0,0.000243176,0.000243176,0.0509575
6,257.882,1.82969,2.5873,1.69023,1.18571,0,0.41419,0.63158,0.43832,0.18543,0.35357,0.44623,0.25727,0.05766,1.72914,14.1258,2.81235,1.24067,0,0.000291537,0.000291537,0.0410058
7,297.009,1.65879,2.34648,1.59221,1.13672,0,0.54486,0.57895,0.48585,0.22007,0.36784,0.39474,0.269,0.0852,1.70371,9.05134,4.01538,1.24866,0,0.000339569,0.000339569,0.0310539
8,333.674,1.61792,2.19795,1.52904,1.10427,0,0.5683,0.57895,0.48557,0.22204,0.53011,0.55263,0.39025,0.11656,1.72014,5.70911,4.51933,1.29365,0,0.000387271,0.000387271,0.0211016
9,372.893,1.52351,2.09372,1.78254,1.03199,0,0.71407,0.52579,0.57029,0.25282,0.71407,0.52579,0.57108,0.17966,1.77067,3.85523,2.68011,1.31266,0,0.000434643,0.000434643,0.0111489
10,412.125,1.61345,2.19135,2.6142,1.08413,0,0.67168,0.48476,0.61381,0.27951,0.65846,0.50753,0.61632,0.27819,1.76405,3.11717,1.9543,1.31668,0,0.000481685,0.000481685,0.00119597
11,442.444,1.70491,2.09792,2.19287,1.12674,0,0.73129,0.57895,0.68879,0.3526,0.72814,0.57895,0.70025,0.33603,1.73822,2.58681,1.87237,1.25128,0,0.0004835,0.0004835,0.0004835
12,471.719,1.68443,2.31537,2.0212,1.13599,0,0.53086,0.65517,0.55507,0.28157,0.51893,0.68421,0.57756,0.27198,1.74299,2.35697,1.73353,1.19603,0,0.00048185,0.00048185,0.00048185
13,508.013,1.66398,2.0395,1.73852,1.09018,0,0.4787,0.73684,0.64109,0.31439,0.4787,0.73684,0.63717,0.29748,1.74021,2.28525,1.89258,1.24183,0,0.0004802,0.0004802,0.0004802
14,547.019,1.51096,1.93988,1.38485,1.04874,0,0.59428,0.65534,0.6553,0.31446,0.59428,0.65534,0.65866,0.2978,1.76823,2.24418,1.952,1.29556,0,0.00047855,0.00047855,0.00047855
15,574.916,1.60659,1.9685,1.36474,1.09529,0,0.54832,0.63905,0.62189,0.29983,0.54832,0.63905,0.62508,0.28443,1.76823,2.24418,1.952,1.29556,0,0.0004769,0.0004769,0.0004769
16,605.917,1.70209,2.23244,1.77029,1.13931,0,0.61429,0.62874,0.60612,0.29512,0.61429,0.62874,0.60564,0.27376,1.81771,2.17747,2.024,1.30454,0,0.00047525,0.00047525,0.00047525
17,640.81,1.67339,2.22017,1.53598,1.16756,0,0.61408,0.63158,0.58314,0.29161,0.61408,0.63158,0.59255,0.28421,1.8423,2.11451,2.49403,1.32335,0,0.0004736,0.0004736,0.0004736
18,674.702,1.66872,2.06881,1.7396,1.15895,0,0.5589,0.65789,0.57318,0.28758,0.56536,0.68462,0.62245,0.30222,1.76636,2.1028,2.83373,1.30152,0,0.00047195,0.00047195,0.00047195
19,708.863,1.6319,2.0191,1.67063,1.16083,0,0.50014,0.65789,0.57556,0.28812,0.52218,0.68421,0.61093,0.27763,1.728,2.08684,2.1008,1.25855,0,0.0004703,0.0004703,0.0004703
20,745.543,1.7302,2.14949,1.72038,1.14783,0,0.54659,0.71053,0.61963,0.32179,0.56966,0.73163,0.66431,0.30371,1.68971,2.0539,1.81549,1.21335,0,0.00046865,0.00046865,0.00046865
21,776.13,1.46101,2.07031,1.58975,1.06315,0,0.58525,0.63158,0.63955,0.34193,0.58525,0.63158,0.65535,0.30832,1.67615,2.0347,1.64591,1.20841,0,0.000467,0.000467,0.000467
22,806.287,1.5839,2.02858,1.85047,1.05558,0,0.53653,0.63988,0.63495,0.33334,0.53653,0.63988,0.64345,0.30281,1.69298,2.03837,1.64492,1.21412,0,0.00046535,0.00046535,0.00046535
23,831.419,1.6312,1.92545,1.27641,1.13874,0,0.53653,0.63988,0.63495,0.33334,0.53653,0.63988,0.64345,0.30281,1.69298,2.03837,1.64492,1.21412,0,0.0004637,0.0004637,0.0004637
24,859.422,1.68317,2.01429,1.47507,1.11764,0,0.73635,0.58818,0.64249,0.32647,0.70414,0.56388,0.61957,0.294,1.72714,2.00154,1.68739,1.22938,0,0.00046205,0.00046205,0.00046205
25,887.799,1.59741,2.08598,1.48439,1.07651,0,0.73017,0.52632,0.63398,0.32684,0.66126,0.51393,0.59835,0.30325,1.77268,2.03514,1.81927,1.26194,0,0.0004604,0.0004604,0.0004604
26,915.516,1.57574,1.87028,1.39902,1.04323,0,0.58282,0.57895,0.60654,0.29449,0.51095,0.60526,0.56535,0.28479,1.79741,2.12515,1.71926,1.27259,0,0.00045875,0.00045875,0.00045875
27,942.967,1.56112,1.92711,1.43666,1.08934,0,0.61003,0.65789,0.60591,0.30404,0.58902,0.63158,0.61897,0.29627,1.74811,2.13903,1.63326,1.24598,0,0.0004571,0.0004571,0.0004571
28,968.855,1.4996,1.72152,1.41397,1.01588,0,0.60532,0.76691,0.66195,0.33654,0.60532,0.76691,0.65914,0.33188,1.72801,2.13394,1.55005,1.22922,0,0.00045545,0.00045545,0.00045545
29,995.208,1.6385,2.28432,1.59242,1.13166,0,0.60466,0.76475,0.66536,0.32921,0.62423,0.78947,0.66319,0.3176,1.72146,2.13316,1.48275,1.22471,0,0.0004538,0.0004538,0.0004538
30,1021.63,1.73408,2.17943,1.57944,1.11186,0,0.65136,0.78669,0.69771,0.33406,0.65136,0.78669,0.69896,0.29283,1.71488,2.1473,1.46378,1.22476,0,0.00045215,0.00045215,0.00045215
31,1047.38,1.50228,2.26568,1.94806,1.00927,0,0.65136,0.78669,0.69771,0.33406,0.65136,0.78669,0.69896,0.29283,1.71488,2.1473,1.46378,1.22476,0,0.0004505,0.0004505,0.0004505
32,1074.64,1.50855,2.00369,1.44682,1.05102,0,0.62007,0.73026,0.66787,0.32907,0.62007,0.73026,0.67654,0.31733,1.74609,2.11963,1.53114,1.24571,0,0.00044885,0.00044885,0.00044885
33,1100.77,1.62062,1.84153,1.33157,1.11367,0,0.63405,0.68421,0.66905,0.32275,0.63405,0.68421,0.67768,0.3237,1.79062,2.11494,1.48832,1.27443,0,0.0004472,0.0004472,0.0004472
